time [s],channel_4_data.input_voltage,channel_4_data.output_voltage,
0.545367,5798,12434,
0.546359,5798,12434,
0.54715,5798,12434,
0.547941,5794,12434,
0.548716,5794,12434,
0.549521,5794,12448,
0.55038,5791,12448,
0.551156,5791,12448,
0.552007,5791,12434,
0.553,5791,12434,
0.554,5794,12448,
0.555,5794,12448,
0.556,5798,12434,
0.557,5798,12434,
0.558,5794,12448,
0.559,5794,12448,
0.56,5791,12448,
0.561,5791,12448,
0.562,5791,12448,
0.563,5791,12448,
0.564,5798,12448,
0.565,5798,12448,
0.566,5798,12448,
0.567,5798,12448,
0.568,5798,12448,
0.569,5798,12448,
0.57,5791,12448,
0.571,5791,12448,
0.572,5791,12448,
0.573,5791,12448,
0.574,5798,12448,
0.575,5798,12448,
0.576,5798,12434,
0.577,5798,12434,
0.578,5794,12434,
0.579,5794,12434,
0.58,5791,12434,
0.581,5791,12434,
0.582,5794,12434,
0.583,5794,12434,
0.584,5798,12434,
0.585,5798,12434,
0.586,5801,12448,
0.587,5801,12448,
0.588,5791,12448,
0.589,5791,12448,
0.59,5791,12448,
0.591,5791,12448,
0.592,5791,12448,
0.593,5791,12448,
0.594,5794,12448,
0.595,5794,12448,
0.596,5798,12448,
0.597,5798,12448,
0.598,5794,12434,
0.599,5794,12434,
0.6,5787,12434,
0.601,5787,12434,
0.602,5791,12434,
0.603,5791,12434,
0.604,5794,12448,
0.605,5794,12448,
0.606,5798,12448,
0.607,5798,12448,
0.608,5798,12448,
0.609,5798,12448,
0.61,5791,12448,
0.611,5791,12448,
0.612,5791,12448,
0.613,5791,12448,
0.614602,5798,12434,
0.616346,5798,12448,
0.617771,5794,12434,
0.619449,5791,12434,
0.621081,5791,12434,
0.62295,5791,12434,
0.623839,5798,12448,
0.624712,5798,12448,
0.625429,5798,12448,
0.626149,5798,12448,
0.626895,5798,12448,
0.627623,5798,12448,
0.628339,5794,12448,
0.630219,5787,12448,
0.631487,5787,12448,
0.632176,5791,12448,
0.63289,5791,12448,
0.633636,5791,12448,
0.634349,5798,12448,
0.635055,5798,12448,
0.635753,5798,12448,
0.636476,5798,12448,
0.637201,5798,12448,
0.637962,5798,12448,
0.638712,5798,12448,
0.639499,5798,12448,
0.640272,5791,12448,
0.64104,5791,12448,
0.642,5794,12448,
0.643,5794,12448,
0.644,5794,12434,
0.645,5794,12434,
0.646,5798,12448,
0.647,5798,12448,
0.648,5794,12448,
0.649,5794,12448,
0.65,5791,12448,
0.651,5791,12448,
0.652,5791,12448,
0.653,5791,12448,
0.654,5794,12434,
0.655,5794,12434,
0.656,5798,12448,
0.657,5798,12448,
0.658,5794,12434,
0.659,5794,12434,
0.66,5791,12434,
0.661,5791,12434,
0.662,5791,12434,
0.663,5791,12434,
0.664544,5794,12448,
0.665399,5794,12448,
0.666256,5794,12448,
0.667086,5794,12448,
0.668,5794,12448,
0.669,5794,12448,
0.67,5791,12448,
0.671,5791,12448,
0.672,5791,12448,
0.673,5791,12448,
0.674,5798,12448,
0.675,5798,12448,
0.676,5798,12448,
0.677,5798,12448,
0.678,5794,12434,
0.679,5794,12434,
0.68,5791,12448,
0.681,5791,12448,
0.682,5791,12434,
0.683,5791,12434,
0.684,5798,12434,
0.685,5798,12434,
0.686,5794,12434,
0.687,5794,12434,
0.688,5794,12448,
0.689,5794,12448,
0.69,5791,12434,
0.691,5791,12434,
0.692,5791,12434,
0.693,5791,12434,
0.694,5794,12448,
0.695,5794,12448,
0.696,5798,12434,
0.697,5798,12434,
0.698,5798,12434,
0.699001,5798,12434,
0.7,5791,12448,
0.701,5791,12448,
0.702,5794,12448,
0.703,5794,12448,
0.704,5798,12448,
0.705,5798,12448,
0.706,5801,12448,
0.707,5801,12448,
0.708,5794,12434,
0.709,5794,12434,
0.71,5791,12448,
0.711,5791,12448,
0.712,5791,12448,
0.713,5791,12448,
0.714,5798,12463,
0.715,5798,12463,
0.716,5798,12434,
0.717,5798,12434,
0.718,5794,12434,
0.719,5794,12434,
0.72,5791,12448,
0.721,5791,12448,
0.722,5791,12448,
0.723,5791,12448,
0.724,5794,12448,
0.725,5794,12448,
0.726165,5798,12434,
0.727,5798,12434,
0.728,5794,12448,
0.729,5794,12448,
0.73,5791,12448,
0.731,5791,12448,
0.732219,5791,12434,
0.733017,5791,12434,
0.734,5794,12448,
0.735,5794,12448,
0.736,5798,12448,
0.737,5798,12448,
0.738,5794,12434,
0.739,5794,12434,
0.74,5791,12434,
0.741,5791,12434,
0.742,5791,12448,
0.743266,5791,12448,
0.745021,5794,12448,
0.74579,5798,12448,
0.746633,5798,12448,
0.74738,5798,12448,
0.748082,5794,12448,
0.749,5794,12448,
0.75,5787,12434,
0.751,5787,12434,
0.752,5791,12448,
0.753,5791,12448,
0.754,5794,12448,
0.755,5794,12448,
0.756,5801,12448,
0.757,5801,12448,
0.758055,5791,12434,
0.759396,5791,12434,
0.760263,5791,12448,
0.761134,5791,12448,
0.762005,5787,12434,
0.763,5787,12434,
0.764,5798,12448,
0.765,5798,12448,
0.766,5798,12448,
0.767,5798,12448,
0.768,5791,12448,
0.769005,5791,12448,
0.77,5791,12434,
0.771,5791,12434,
0.772,5791,12434,
0.773,5791,12434,
0.774,5794,12434,
0.775,5794,12434,
0.776,5794,12434,
0.777,5794,12434,
0.778,5791,12434,
0.779,5791,12434,
0.78,5791,12448,
0.781,5791,12448,
0.782,5791,12434,
0.783,5791,12434,
0.784,5794,12434,
0.785,5794,12434,
0.786507,5798,12448,
0.787464,5798,12448,
0.788315,5798,12448,
0.789028,5798,12448,
0.79,5791,12448,
0.791,5791,12448,
0.792,5791,12434,
0.793,5791,12434,
0.794,5794,12434,
0.795,5794,12434,
0.796,5798,12434,
0.797,5798,12434,
0.798,5798,12434,
0.799,5798,12434,
0.8,5791,12448,
0.801,5791,12448,
0.802,5791,12448,
0.803,5791,12448,
0.804,0,12448,
0.805,0,12448,
0.806,0,12448,
0.807,0,12448,
0.808,0,12448,
0.809,0,12448,
0.81,0,12448,
0.811,0,12448,
0.812,0,12448,
0.813,0,12448,
0.814,0,12448,
0.815,0,12448,
0.816,0,12448,
0.817,0,12448,
0.818,0,12448,
0.819,0,12448,
0.82,0,12434,
0.821,0,12434,
0.822,0,12448,
0.823,0,12448,
0.824,93,12434,
0.825,93,12434,
0.826,485,12448,
0.827,485,12448,
0.828,870,12434,
0.829,870,12434,
0.83,1242,12434,
0.831,1242,12434,
0.832,1617,12434,
0.833,1617,12434,
0.834,1991,12434,
0.835,1991,12434,
0.836,2370,12448,
0.837,2370,12448,
0.838,2734,12448,
0.839,2734,12448,
0.84,3102,12434,
0.841,3102,12434,
0.842,3459,12448,
0.843,3459,12448,
0.844,3827,12434,
0.845,3827,12434,
0.846,4191,12448,
0.847,4191,12448,
0.848059,4556,12448,
0.849,4556,12448,
0.85,4913,12448,
0.851,4913,12448,
0.852,5270,12434,
0.853,5270,12434,
0.854,5604,12434,
0.855,5604,12434,
0.856,5753,12448,
0.857,5753,12448,
0.858,5784,12434,
0.859,5784,12434,
0.86,5784,12434,
0.861,5784,12434,
0.862,5787,12448,
0.863,5787,12448,
0.864,5794,12448,
0.865,5794,12448,
0.866,5794,12434,
0.867,5794,12434,
0.868,5794,12434,
