time [s],channel_4_data.input_current_ma,channel_4_data.output_current_ma,
0.61,-77,-30,
0.611,-77,-30,
0.612,-83,-33,
0.613,-83,-33,
0.614602,-83,-33,
0.616346,-83,-36,
0.617771,-83,-33,
0.619449,-77,-33,
0.621081,-83,-33,
0.62295,-83,-33,
0.623839,-83,-30,
0.624712,-77,-30,
0.625429,-77,-30,
0.626149,-70,-33,
0.626895,-70,-33,
0.627623,-70,-33,
0.628339,-90,-36,
0.630219,-77,-33,
0.631487,-77,-33,
0.632176,-83,-33,
0.63289,-83,-33,
0.633636,-83,-33,
0.634349,-83,-30,
0.635055,-83,-30,
0.635753,-83,-30,
0.636476,-83,-36,
0.637201,-83,-36,
0.637962,-83,-33,
0.638712,-83,-33,
0.639499,-83,-33,
0.640272,-83,-33,
0.64104,-83,-33,
0.642,-83,-30,
0.643,-83,-30,
0.644,-90,-33,
0.645,-90,-33,
0.646,-90,-33,
0.647,-90,-33,
0.648,-77,-33,
0.649,-77,-33,
0.65,-90,-33,
0.651,-90,-33,
0.652,-83,-33,
0.653,-83,-33,
0.654,-77,-30,
0.655,-77,-30,
0.656,-83,-33,
0.657,-83,-33,
0.658,-77,-33,
0.659,-77,-33,
0.66,-83,-30,
0.661,-83,-30,
0.662,-77,-33,
0.663,-77,-33,
0.664544,-90,-33,
0.665399,-90,-33,
0.666256,-77,-30,
0.667086,-77,-30,
0.668,-77,-30,
0.669,-77,-30,
0.67,-90,-30,
0.671,-90,-30,
0.672,-83,-33,
0.673,-83,-33,
0.674,-83,-36,
0.675,-83,-36,
0.676,-83,-30,
0.677,-83,-30,
0.678,-70,-30,
0.679,-70,-30,
0.68,-77,-30,
0.681,-77,-30,
0.682,-83,-30,
0.683,-83,-30,
0.684,-77,-30,
0.685,-77,-30,
0.686,-83,-33,
0.687,-83,-33,
0.688,-83,-33,
0.689,-83,-33,
0.69,-77,-33,
0.691,-77,-33,
0.692,-83,-33,
0.693,-83,-33,
0.694,-77,-33,
0.695,-77,-33,
0.696,-77,-33,
0.697,-77,-33,
0.698,-77,-33,
0.699001,-77,-33,
0.7,-77,-33,
0.701,-77,-33,
0.702,-83,-33,
0.703,-83,-33,
0.704,-83,-30,
0.705,-83,-30,
0.706,-77,-33,
0.707,-77,-33,
0.708,-83,-33,
0.709,-83,-33,
0.71,-83,-33,
0.711,-83,-33,
0.712,-77,-30,
0.713,-77,-30,
0.714,-90,-36,
0.715,-90,-36,
0.716,-83,-30,
0.717,-83,-30,
0.718,-77,-36,
0.719,-77,-36,
