Setpoint_X,Setpoint_Y,INE,ISW,ISE,INW,ONE,ONW,OSE,OSW,CIR
1412,1514,6482,6189,6263,6590,779,746,717,720,0
1514,1514,6514,6201,6249,6610,778,746,717,720,0
1514,1412,6532,6238,6230,6608,778,746,717,720,0
1616,1412,6483,6315,6140,6558,779,746,718,721,0
1719,1412,6624,6263,6222,6470,778,745,717,720,0
1719,1514,6584,6310,6152,6481,778,745,717,720,0
1616,1514,6550,6371,6086,6476,778,745,716,720,0
1616,1616,6539,6379,6078,6487,778,746,717,720,0
1719,1616,6521,6307,6127,6501,778,745,717,720,0
1719,1719,6537,6291,6148,6491,778,746,717,720,0
1616,1719,6550,6305,6198,6453,778,745,717,720,0
1514,1719,6476,6303,6190,6519,778,745,717,720,0
1514,1616,6493,6271,6251,6518,778,746,717,720,0
1412,1616,6492,6249,6278,6506,778,745,717,720,0
1412,1719,6577,6219,6371,6389,778,745,717,720,0
1309,1719,6433,6262,6269,6479,778,746,717,720,0
1207,1719,6494,6229,6353,6452,779,746,717,720,0
1207,1616,6478,6223,6357,6441,778,746,717,721,0
1309,1616,6479,6287,6361,6340,778,745,717,720,0
1309,1514,6425,6267,6309,6475,778,745,717,720,0
1309,1412,6427,6270,6319,6447,778,746,717,720,0
1207,1412,6461,6218,6320,6556,778,745,717,720,0
1207,1514,6481,6229,6295,6544,778,746,717,720,0
1105,1514,6547,6170,6384,6499,778,745,717,720,0
1105,1412,6544,6182,6354,6524,778,745,717,720,0
1002,1412,6493,6184,6323,6591,778,746,717,720,0
1002,1514,6495,6145,6356,6631,778,746,717,720,0
1002,1616,6486,6114,6387,6644,778,745,717,720,0
1105,1616,6553,6109,6471,6517,777,746,717,720,0
1105,1719,6464,6181,6376,6597,778,746,717,721,0
1002,1719,6503,6131,6414,6604,777,746,717,720,0
900,1719,6515,6142,6427,6600,778,746,717,720,0
900,1616,6479,6166,6389,6598,778,745,717,720,0
798,1616,6539,6155,6457,6531,777,745,717,720,0
798,1719,6529,6122,6465,6548,778,746,717,720,0
695,1719,6475,6087,6492,6572,778,745,717,720,0
593,1719,6492,5997,6607,6540,778,746,717,720,0
593,1616,6475,6015,6633,6524,779,745,717,720,0
695,1616,6370,5985,6671,6629,779,745,717,720,0
695,1514,6387,5972,6709,6643,779,746,717,720,0
593,1514,6386,6006,6702,6622,779,746,717,720,0
593,1412,6397,5953,6726,6628,779,746,717,720,0
695,1412,6438,5993,6664,6656,779,745,717,720,0
798,1412,6461,6055,6562,6642,779,745,717,720,0
